track_id,track_id_matrix,artist_id,artist_id_matrix,album_id,album_id_matrix,triple_id,play_count,tags
tr_0,0,ar_0,0,,,0,2396999,"[('electronic', 100), ('synthpop', 100), ('rnb', 100), ('the weeknd', 100), ('pop', 50), ('dubstep', 50), ('new wave', 50), ('canadian', 50), ('prog-rnb', 50), ('2022', 50)]"
tr_1,1,ar_0,0,al_0,0.0,0,4568454,"[('electronic', 100), ('synthpop', 100), ('synthwave', 100), ('electropop', 50), ('pop', 50), ('dubstep', 50), ('electro', 50), ('new wave', 50), ('synth', 50), ('r&b', 50)]"
tr_2,2,ar_0,0,al_0,0.0,0,2488975,"[('the weeknd', 100), ('ambient pop', 50), ('synthpop', 50), ('rnb', 50), ('progressive electronic', 50), ('synthwave', 50), ('alternative rnb', 50), (' prog-rnb', 50), ('myspotigrambot', 50), ('-1001747063611', 50)]"
tr_3,3,ar_0,0,,,0,7070258,"[('city pop', 100), ('rnb', 86), ('pop', 72), ('vaporwave', 43), ('sophisti-pop', 43), ('myspotigrambot', 43), ('soul', 29), ('r&b', 29), ('synth-pop', 29), ('synthwave', 29)]"
tr_4,4,ar_0,0,,,0,3275734,"[('myspotigrambot', 100), ('rap', 50), ('synthpop', 50), ('rnb', 50), ('ballad', 50), ('the weeknd', 50), ('tyler the creator', 50), ('-1001747063611', 50), ('-1001619265784', 50)]"
tr_5,5,ar_0,0,al_0,0.0,0,3152029,"[('pop', 100), ('electronic', 50), ('electropop', 50), ('dubstep', 50), ('dance', 50), ('bop', 50), ('techno', 50), ('rnb', 50), ('love at first listen', 50), ('break-up', 50)]"
tr_6,6,ar_0,0,al_0,0.0,0,4032985,"[('synthpop', 100), ('synthwave', 67), ('electronic', 50), ('rnb', 50), ('pop', 34), ('disco', 17), ('electropop', 17), ('dubstep', 17), ('dance', 17), ('r&b', 17)]"
tr_7,7,ar_0,0,al_0,0.0,0,5408277,"[('myspotigrambot', 100), ('synthpop', 67), ('rnb', 67), ('the weeknd', 67), ('pop', 34), ('synth pop', 34), ('dream pop', 34), ('r&b', 34), ('synth-pop', 34), ('eletronic', 34)]"
tr_8,8,ar_0,0,al_0,0.0,0,2309962,"[('soul', 100), ('electro', 100), ('r&b', 100), ('synthpop', 100), ('rnb', 100), ('freestyle', 100), ('synthwave', 100), ('alternative rnb', 100), ('prog-rnb', 100), ('the weeknd', 100)]"
tr_9,9,ar_0,0,al_0,0.0,0,1239622,"[('spoken word', 100), ('rnb', 100), ('narration', 100), ('dark pop', 100), ('the weeknd', 100)]"
tr_10,10,ar_0,0,al_0,0.0,0,5793997,"[('disco', 100), ('pop', 100), ('rnb', 100), ('electropop', 67), ('synthpop', 67), ('the weeknd', 67), ('2020s', 67), ('2022', 67), ('myspotigrambot', 67), ('electronic', 34)]"
tr_11,11,ar_0,0,al_0,0.0,0,6752092,"[('synthpop', 100), ('electronic', 50), ('pop', 50), ('rnb', 50), ('ballad', 50), ('chillwave', 50), ('progressive electronic', 50), ('synthwave', 50), ('the weeknd', 50), (' synthwave', 50)]"
tr_12,12,ar_0,0,al_0,0.0,0,2173908,"[('rnb', 100), ('rap', 50), ('synthpop', 50), ('new jack swing', 50), ('dance pop', 50), ('freestyle', 50), ('pop rap', 50), ('eletronic', 50), ('lil wayne', 50), ('synth funk', 50)]"
tr_13,13,ar_0,0,al_1,1.0,0,6455153,"[('synthpop', 100), ('pop', 88), ('synthwave', 75), ('disco', 63), ('nu-disco', 63), ('the weeknd', 50), ('2020s', 50), ('2021', 50), ('electronic', 25), ('dance-pop', 25)]"
tr_14,14,ar_1,1,,,0,4162622,"[('dream pop', 100), ('rnb', 100), ('contemporary rnb', 67), ('alternative rnb', 67), ('pop', 34), ('chill', 34), ('rock', 34), ('alternative', 34), ('alternative rock', 34), ('synth pop', 34)]"
tr_15,15,ar_2,2,al_2,2.0,0,11713571,"[('hip-hop', 100), ('rap', 60), ('kanye west', 57), ('hip hop', 45), ('rnb', 34), ('flashing lights', 13), ('party', 10), ('00s', 10), ('sexy', 8), ('r&b', 8)]"
tr_16,16,ar_3,3,,,0,126722,[]
tr_17,17,ar_4,4,,,0,13259951,"[('rnb', 100), ('soul', 72), ('alternative rnb', 43), ('sad', 29), ('masterpiece', 29), ('frank ocean', 29), ('hip-hop', 15), ('pop', 15), ('alternative', 15), ('acoustic', 15)]"
tr_18,18,ar_1,1,,,0,1202563,"[('joaoaksnes', 100), ('luis wang', 100)]"
tr_19,19,ar_5,5,al_3,3.0,0,5984008,"[('indie pop', 100), ('chamber pop', 100), ('rnb', 100), ('indie', 50), ('pop', 50), ('chill', 50), ('rock', 50), ('soul', 50), ('alternative', 50), ('pop rock', 50)]"
tr_20,20,ar_6,6,,,0,4518338,"[('pop', 100), ('dance-pop', 100), ('k-pop', 100), ('synth-pop', 100), ('2010s', 100), ('kpop', 100), ('fire', 100), ('2018', 100), ('pops in seoul', 100), ('labi loves twice', 100)]"
tr_21,21,ar_7,7,al_4,4.0,0,3768971,"[('indie pop', 100), ('sad', 100), ('acoustic', 100), ('guitar', 100), ('folk pop', 100), ('ballad', 100), ('soul', 50), ('folk', 50), ('singer-songwriter', 50), ('pop rock', 50)]"
tr_22,22,ar_0,0,,,0,8216768,"[('rnb', 100), ('alternative rnb', 100), ('the weeknd', 75), ('myspotigrambot', 75), ('pop', 50), ('ambient pop', 50), ('synthpop', 50), ('future garage', 50), ('dark pop', 50), ('-1001747063611', 50)]"
tr_23,23,ar_0,0,al_5,5.0,0,2970841,"[('rnb', 100), ('trap', 80), ('soul', 60), ('urban', 40), ('myspotigrambot', 40), ('hip-hop', 20), ('electronic', 20), ('electropop', 20), ('pop', 20), ('sad', 20)]"
tr_24,24,ar_1,1,al_6,6.0,0,2957793,"[('alternative', 100), ('trip-hop', 50), ('moody', 50), ('interlude', 50), ('myspotigrambot', 50), ('-1001747063611', 50)]"
tr_25,25,ar_2,2,al_2,2.0,0,10640249,"[('hip-hop', 100), ('kanye west', 85), ('rap', 77), ('hip hop', 57), ('rnb', 33), ('chicago', 11), ('2007', 10), ('00s', 10), ('kanye', 10), ('chillout', 8)]"
tr_26,26,ar_8,8,al_7,7.0,0,342520,[]
tr_27,27,ar_5,5,,,0,1899398,[]
tr_28,28,ar_7,7,al_4,4.0,0,13012501,"[('pop', 100), ('soul', 67), ('psychedelic pop', 67), ('rnb', 67), ('neo-soul', 50), ('sza', 50), ('trip-hop', 34), ('neo-psychedelia', 34), ('bedroom pop', 34), ('indie surf', 34)]"
tr_29,29,ar_7,7,al_4,4.0,0,2575167,"[('rnb', 100), ('sza', 50), ('love language', 50), ('myspotigrambot', 50), ('-1001747063611', 50)]"
tr_30,30,ar_7,7,al_4,4.0,0,4807930,"[('trap', 100), ('pop rap', 100), ('hip-hop', 50), ('electronic', 50), ('pop', 50), ('chill', 50), ('soul', 50), ('dance', 50), ('bop', 50), ('rnb', 50)]"
tr_31,31,ar_7,7,al_4,4.0,0,3030448,"[('pop', 100), ('angry', 100), ('introspective', 100), ('rnb', 100), ('bittersweet', 100), ('break-up', 100), ('neo-psychedelia', 100), ('sampling', 100), ('rhythmic', 100), ('toxic', 100)]"
tr_32,32,ar_0,0,al_5,5.0,0,2217113,"[('soul', 100), ('rnb', 100), ('trap', 100), ('urban', 67), ('hip-hop', 34), ('sad', 34), ('ambient pop', 34), ('canadian', 34), ('beautiful', 34), ('r&b', 34)]"
tr_33,33,ar_9,9,al_8,8.0,0,2977755,"[('rnb', 100), ('pop', 50), ('soul', 50), ('female vocalists', 50), ('downtempo', 50), ('slow', 50), ('male vocalists', 50), ('yearning', 50), ('love at first listen', 50), ('vagina', 50)]"
tr_34,34,ar_10,10,al_9,9.0,0,5690336,"[('myspotigrambot', 100), ('rnb', 50), ('numbers', 50), ('baby keem', 50), ('-1001747063611', 50), ('-1001272436819', 50)]"
tr_35,35,ar_10,10,al_9,9.0,0,4228474,"[('hip-hop', 100), ('rap', 100), ('trap', 100), ('countries and continents', 100), ('baby keem', 100), ('myspotigrambot', 100)]"
tr_36,36,ar_11,11,al_10,10.0,0,2973886,"[('hip hop', 100), ('alternative', 100), ('rnb', 100), ('ballad', 100), ('alternative hip hop', 100), ('alternative rnb', 100)]"
tr_37,37,ar_1,1,,,0,1762806,"[('joaoaksnes', 100), ('myspotigrambot', 100), ('-1001747063611', 100)]"
tr_38,38,ar_1,1,al_11,11.0,0,13503339,"[('ballad', 100), ('pop', 67), ('piano', 67), ('adult contemporary', 67), ('masterpiece', 67), ('joji', 67), ('indie', 34), ('alternative', 34), ('sad', 34), ('singer-songwriter', 34)]"
tr_39,39,ar_1,1,al_12,12.0,0,7011842,"[('indie', 100), ('alternative', 100), ('lo-fi', 100), ('rnb', 100), ('joji', 100), ('electronica', 50), ('electropop', 50), ('chill', 50), ('synthpop', 50)]"
tr_40,40,ar_2,2,al_13,13.0,0,7992030,"[('hip-hop', 100), ('trap', 100), ('pop rap', 100), ('alternative rnb', 100), ('the weeknd', 100), ('rnb', 67), ('kanye west', 67), ('myspotigrambot', 67), ('-1001747063611', 67), ('rap', 34)]"
tr_41,41,ar_8,8,al_7,7.0,0,220399,[]
tr_42,42,ar_8,8,al_14,14.0,0,656718,[]
tr_43,43,ar_5,5,al_3,3.0,0,1265654,"[('when 2022 was fresh', 100)]"
tr_44,44,ar_5,5,,,0,1407840,"[('hip-hop', 100), ('pop', 100), ('soul', 100), ('indie pop', 100), ('sad', 100), ('smooth soul', 100), ('strings', 100), ('rnb', 100), ('fip', 100), ('ballad', 100)]"
tr_45,45,ar_5,5,al_15,15.0,0,1779146,"[('indie', 100), ('banned', 100)]"
tr_46,46,ar_7,7,al_4,4.0,0,3837534,"[('soul', 100), ('rnb', 100), ('chamber folk', 100), ('alternative', 50), ('sad', 50), ('female vocalists', 50), ('contemporary folk', 50), ('introspective', 50), ('excellent', 50), ('amazing', 50)]"
